Sorter,Array Order,size 10,size 100,size 1000
Sorter1,Random,1557,17777,220794
Sorter1,Ascending,1124,11625,135887
Sorter1,Descending,1170,12220,145547
Sorter2,Random,849,57665,5907543
Sorter2,Ascending,319,653,3800
Sorter2,Descending,780,54399,4902873
Sorter3,Random,594,10041,793678
Sorter3,Ascending,359,992,7296
Sorter3,Descending,498,17109,1561662
Sorter4,Random,769,7915,111116
Sorter4,Ascending,671,26136,2354445
Sorter4,Descending,564,22018,1960885
Sorter5,Random,818,26631,2035019
Sorter5,Ascending,597,21640,1955206
Sorter5,Descending,558,22458,1962896
